Points_0,Points_1,Points_2,displacement_0,displacement_1
-0.0314,0,0,0.00139986,-7.72143e-05
-0.0312,0,0,0.00140094,-7.67374e-05
-0.031,0,0,0.00140203,-7.62604e-05
-0.0308,0,0,0.00140312,-7.57835e-05
-0.0306,0,0,0.0014042,-7.53065e-05
-0.0304,0,0,0.00140529,-7.48296e-05
-0.0302,0,0,0.00140637,-7.43526e-05
-0.03,0,0,0.00140746,-7.38756e-05
-0.0298,0,0,0.00140836,-7.33922e-05
-0.0296,0,0,0.00140926,-7.29088e-05
-0.0294,0,0,0.00141017,-7.24253e-05
-0.0292,0,0,0.00141107,-7.19419e-05
-0.029,0,0,0.00141197,-7.14584e-05
-0.0288,0,0,0.00141288,-7.0975e-05
-0.0286,0,0,0.00141378,-7.04915e-05
-0.0284,0,0,0.00141468,-7.00081e-05
-0.0282,0,0,0.00141558,-6.95246e-05
-0.028,0,0,0.00141649,-6.90412e-05
-0.0278,0,0,0.00141739,-6.85578e-05
-0.0276,0,0,0.00141829,-6.80743e-05
-0.0274,0,0,0.0014192,-6.75909e-05
-0.0272,0,0,0.0014201,-6.71074e-05
-0.027,0,0,0.001421,-6.6624e-05
-0.0268,0,0,0.0014219,-6.61405e-05
-0.0266,0,0,0.00142281,-6.56571e-05
-0.0264,0,0,0.00142371,-6.51736e-05
-0.0262,0,0,0.00142461,-6.46902e-05
-0.026,0,0,0.00142552,-6.42067e-05
-0.0258,0,0,0.00142642,-6.37233e-05
-0.0256,0,0,0.00142732,-6.32399e-05
-0.0254,0,0,0.00142822,-6.27564e-05
-0.0252,0,0,0.00142913,-6.2273e-05
-0.025,0,0,0.00143003,-6.17895e-05
-0.0248,0,0,0.00143076,-6.1301e-05
-0.0246,0,0,0.00143149,-6.08126e-05
-0.0244,0,0,0.00143222,-6.03241e-05
-0.0242,0,0,0.00143294,-5.98356e-05
-0.024,0,0,0.00143367,-5.93471e-05
-0.0238,0,0,0.0014344,-5.88586e-05
-0.0236,0,0,0.00143513,-5.83702e-05
