displacement:0,displacement:1,Points:0,Points:1,Points:2
0.0111362,0.00647834,-0.3,0.4,0
0.0111401,0.0063839,-0.295,0.4,0
0.011144,0.00628947,-0.29,0.4,0
0.0111477,0.00619504,-0.285,0.4,0
0.0111514,0.00610063,-0.28,0.4,0
0.011155,0.00600625,-0.275,0.4,0
0.0111585,0.00591186,-0.27,0.4,0
0.0111619,0.0058175,-0.265,0.4,0
0.0111653,0.00572314,-0.26,0.4,0
0.0111686,0.00562881,-0.255,0.4,0
0.0111718,0.00553449,-0.25,0.4,0
0.0111749,0.0054402,-0.245,0.4,0
0.0111779,0.00534592,-0.24,0.4,0
0.0111808,0.00525167,-0.235,0.4,0
0.0111837,0.00515743,-0.23,0.4,0
0.0111865,0.00506323,-0.225,0.4,0
0.0111892,0.00496904,-0.22,0.4,0
0.0111918,0.00487489,-0.215,0.4,0
0.0111944,0.00478075,-0.21,0.4,0
0.0111969,0.00468664,-0.205,0.4,0
0.0111993,0.00459256,-0.2,0.4,0
0.0112016,0.00449851,-0.195,0.4,0
0.0112038,0.00440449,-0.19,0.4,0
0.011206,0.00431051,-0.185,0.4,0
0.0112081,0.00421654,-0.18,0.4,0
0.0112101,0.00412262,-0.175,0.4,0
0.0112121,0.00402873,-0.17,0.4,0
0.011214,0.00393487,-0.165,0.4,0
0.0112158,0.00384103,-0.16,0.4,0
0.0112175,0.00374724,-0.155,0.4,0
0.0112192,0.00365347,-0.15,0.4,0
0.0112208,0.00355975,-0.145,0.4,0
0.0112223,0.00346606,-0.14,0.4,0
0.0112238,0.00337241,-0.135,0.4,0
0.0112252,0.00327879,-0.13,0.4,0
0.0112265,0.00318519,-0.125,0.4,0
0.0112278,0.00309164,-0.12,0.4,0
0.011229,0.00299812,-0.115,0.4,0
0.0112302,0.00290463,-0.11,0.4,0
0.0112313,0.00281119,-0.105,0.4,0
0.0109015,-0.00666213,0.4,0.395,0
0.0107603,-0.00666559,0.4,0.39,0
0.0106192,-0.00666903,0.4,0.385,0
0.0104783,-0.00667244,0.4,0.38,0
0.0103375,-0.00667583,0.4,0.375,0
0.0101969,-0.0066792,0.4,0.37,0
0.0100564,-0.00668255,0.4,0.365,0
0.00991597,-0.00668586,0.4,0.36,0
0.0097757,-0.00668916,0.4,0.355,0
0.00963557,-0.00669242,0.4,0.35,0
0.00949557,-0.00669566,0.4,0.345,0
0.0093557,-0.00669888,0.4,0.34,0
0.00921594,-0.00670207,0.4,0.335,0
0.00907631,-0.00670523,0.4,0.33,0
0.0089368,-0.00670838,0.4,0.325,0
0.00879739,-0.0067115,0.4,0.32,0
0.00865811,-0.00671458,0.4,0.315,0
0.00851893,-0.00671765,0.4,0.31,0
0.00837986,-0.00672068,0.4,0.305,0
0.00824091,-0.00672369,0.4,0.3,0
0.00810206,-0.00672668,0.4,0.295,0
0.0079633,-0.00672964,0.4,0.29,0
0.00782465,-0.00673256,0.4,0.285,0
0.0076861,-0.00673546,0.4,0.28,0
0.00754763,-0.00673834,0.4,0.275,0
0.00740927,-0.00674118,0.4,0.27,0
0.00727099,-0.00674401,0.4,0.265,0
0.0071328,-0.00674679,0.4,0.26,0
0.00699469,-0.00674956,0.4,0.255,0
0.00685666,-0.00675229,0.4,0.25,0
0.00671872,-0.006755,0.4,0.245,0
0.00658085,-0.00675767,0.4,0.24,0
0.00644304,-0.00676032,0.4,0.235,0
0.00630532,-0.00676293,0.4,0.23,0
0.00616766,-0.00676552,0.4,0.225,0
0.00603006,-0.00676807,0.4,0.22,0
0.00589252,-0.00677059,0.4,0.215,0
0.00575504,-0.00677308,0.4,0.21,0
0.00561762,-0.00677553,0.4,0.205,0
0.00548024,-0.00677795,0.4,0.2,0
0.00534292,-0.00678034,0.4,0.195,0
0.00520564,-0.00678269,0.4,0.19,0
0.0050684,-0.006785,0.4,0.185,0
0.00493121,-0.00678728,0.4,0.18,0
0.00479405,-0.00678952,0.4,0.175,0
0.00465692,-0.00679172,0.4,0.17,0
0.00451983,-0.00679389,0.4,0.165,0
0.00438276,-0.00679601,0.4,0.16,0
0.00424572,-0.00679809,0.4,0.155,0
0.0041087,-0.00680012,0.4,0.15,0
0.0039717,-0.00680211,0.4,0.145,0
0.00383472,-0.00680405,0.4,0.14,0
0.00369775,-0.00680594,0.4,0.135,0
0.0035608,-0.00680779,0.4,0.13,0
0.00342387,-0.00680959,0.4,0.125,0
0.00328693,-0.00681133,0.4,0.12,0
0.00315,-0.00681303,0.4,0.115,0
0.00301308,-0.00681466,0.4,0.11,0
0.00287616,-0.00681623,0.4,0.105,0
0.00273924,-0.00681775,0.4,0.1,0
0.00260232,-0.00681921,0.4,0.095,0
0.00246541,-0.0068206,0.4,0.09,0
0.00232848,-0.00682194,0.4,0.085,0
0.00219156,-0.0068232,0.4,0.08,0
0.00205462,-0.0068244,0.4,0.075,0
0.00191769,-0.00682554,0.4,0.07,0
0.00178074,-0.0068266,0.4,0.065,0
0.0016438,-0.00682758,0.4,0.06,0
0.00150684,-0.0068285,0.4,0.055,0
0.00136988,-0.00682935,0.4,0.05,0
0.00123292,-0.00683011,0.4,0.045,0
0.00109594,-0.0068308,0.4,0.04,0
0.000958966,-0.00683141,0.4,0.035,0
0.000821976,-0.00683194,0.4,0.03,0
0.000684988,-0.0068324,0.4,0.025,0
0.000547996,-0.00683276,0.4,0.02,0
0.000410995,-0.00683305,0.4,0.015,0
0.000274,-0.00683324,0.4,0.01,0
0.000136999,-0.00683338,0.4,0.005,0
-1.34965e-15,-0.00693166,0.405095,0,0
-1.3509e-15,-0.00703583,0.410498,0,0
-1.35215e-15,-0.00714631,0.416227,0,0
-1.35291e-15,-0.00726341,0.422304,0,0
-1.35375e-15,-0.00738758,0.428748,0,0
-1.35468e-15,-0.00751924,0.435582,0,0
-1.35571e-15,-0.0076588,0.442829,0,0
-1.35659e-15,-0.0078068,0.450515,0,0
-1.35806e-15,-0.00796367,0.458666,0,0
-1.35967e-15,-0.00812998,0.46731,0,0
-1.36168e-15,-0.00830631,0.476476,0,0
-1.36346e-15,-0.00849319,0.486198,0,0
-1.36529e-15,-0.00869142,0.496508,0,0
-1.36797e-15,-0.00890136,0.507441,0,0
-1.37145e-15,-0.00912401,0.519036,0,0
-1.37339e-15,-0.00936003,0.531332,0,0
-1.37635e-15,-0.00960999,0.544372,0,0
-1.37941e-15,-0.00987508,0.558201,0,0
-1.38233e-15,-0.0101559,0.572867,0,0
-1.38448e-15,-0.0104534,0.58842,0,0
-1.38808e-15,-0.0107686,0.604914,0,0
-1.39108e-15,-0.0111026,0.622406,0,0
-1.39369e-15,-0.0114562,0.640956,0,0
-1.39617e-15,-0.0118308,0.660628,0,0
-1.39898e-15,-0.0122268,0.681491,0,0
-1.40092e-15,-0.0126467,0.703615,0,0
-1.40297e-15,-0.0130906,0.727078,0,0
-1.40528e-15,-0.0135599,0.751961,0,0
-1.40719e-15,-0.0140563,0.778349,0,0
-1.40927e-15,-0.0145803,0.806334,0,0
-1.41163e-15,-0.0151331,0.836011,0,0
-1.41314e-15,-0.0157175,0.867484,0,0
-1.41518e-15,-0.0163329,0.900861,0,0
-1.417e-15,-0.0169784,0.936258,0,0
-1.41813e-15,-0.0176571,0.973796,0,0
-1.41924e-15,-0.0183709,1.0136,0,0
-1.42028e-15,-0.0191139,1.05582,0,0
-1.42085e-15,-0.0198882,1.10059,0,0
-1.42037e-15,-0.0206862,1.14807,0,0
-1.41815e-15,-0.0215078,1.19843,0,0
-1.41814e-15,-0.0223413,1.25183,0,0
-1.41713e-15,-0.0231794,1.30845,0,0
-1.41524e-15,-0.0240111,1.36851,0,0
-1.41286e-15,-0.0247773,1.4322,0,0
-1.41025e-15,-0.0254606,1.49974,0,0
-1.40603e-15,-0.0259573,1.57137,0,0
-1.40266e-15,-0.0262022,1.64733,0,0
-1.39899e-15,-0.0258434,1.72789,0,0
-1.3963e-15,-0.0235972,1.81332,0,0
-1.39278e-15,-0.0190901,1.90392,0,0
0.000198977,-0.0142161,2,0.1,0
0.00193034,-0.0224524,2,0.2,0
0.0050715,-0.0271943,2,0.3,0
0.00842409,-0.0308606,2,0.4,0
0.0117321,-0.0334503,2,0.5,0
0.015171,-0.0355788,2,0.6,0
0.0186246,-0.0373344,2,0.7,0
0.0220658,-0.0388516,2,0.8,0
0.0255329,-0.0401623,2,0.9,0
0.02901,-0.041303,2,1,0
0.0325595,-0.0423396,2,1.1,0
0.0361139,-0.0432685,2,1.2,0
0.0397384,-0.0441158,2,1.3,0
0.0434296,-0.044932,2,1.4,0
0.047207,-0.0456682,2,1.5,0
0.0511238,-0.0463513,2,1.6,0
0.0552142,-0.0470484,2,1.7,0
0.0595341,-0.0476637,2,1.8,0
0.0642662,-0.0482286,2,1.9,0
0.0693949,-0.0437331,1.9,2,0
0.0688097,-0.0396708,1.8,2,0
0.0681632,-0.0360617,1.7,2,0
0.0674338,-0.0327756,1.6,2,0
0.0667732,-0.0297751,1.5,2,0
0.0661016,-0.0270058,1.4,2,0
0.06547,-0.0244227,1.3,2,0
0.0648794,-0.0220175,1.2,2,0
0.0643687,-0.0197415,1.1,2,0
0.0638792,-0.0175829,1,2,0
0.063454,-0.0155118,0.9,2,0
0.0630739,-0.0135386,0.8,2,0
0.0627592,-0.0116184,0.7,2,0
0.0624944,-0.00975124,0.6,2,0
0.0622743,-0.00792838,0.5,2,0
0.0620916,-0.00614054,0.4,2,0
0.06196,-0.00437201,0.3,2,0
0.0618633,-0.00262536,0.2,2,0
0.0618069,-0.000883553,0.1,2,0
0.0617898,0.000856286,5.50449e-12,2,0
0.0618116,0.00258649,-0.1,2,0
0.0618667,0.00432471,-0.2,2,0
0.0619628,0.00608383,-0.3,2,0
0.0620984,0.00784472,-0.4,2,0
0.0622736,0.00964378,-0.5,2,0
0.0624979,0.0114585,-0.6,2,0
0.0627625,0.0133328,-0.7,2,0
0.0630828,0.0152396,-0.8,2,0
0.0634506,0.0172272,-0.9,2,0
0.0638833,0.0192805,-1,2,0
0.0643678,0.0214458,-1.1,2,0
0.0649018,0.0237177,-1.2,2,0
0.065465,0.0261428,-1.3,2,0
0.0661059,0.0287091,-1.4,2,0
0.0667602,0.0315201,-1.5,2,0
0.0674503,0.0344748,-1.6,2,0
0.0681688,0.0377784,-1.7,2,0
0.0688122,0.0413849,-1.8,2,0
0.0694094,0.0454645,-1.9,2,0
0.0643041,0.0499292,-2,1.9,0
0.0595556,0.0494015,-2,1.8,0
0.0551837,0.0487739,-2,1.7,0
