Points_0,Points_1,Points_2,displacement_0,displacement_1
-0.06204,0,0,0.0324965,0.1403
-0.06182,0,0,0.0323814,0.140628
-0.0616,0,0,0.0322663,0.140956
-0.06138,0,0,0.0321512,0.141284
-0.06116,0,0,0.0320361,0.141612
-0.06094,0,0,0.031921,0.14194
-0.06072,0,0,0.0318059,0.142268
-0.0605,0,0,0.0316908,0.142596
-0.06028,0,0,0.0315757,0.142924
-0.06006,0,0,0.0314606,0.143252
-0.05984,0,0,0.0313455,0.143551
-0.05962,0,0,0.0312304,0.143838
-0.0594,0,0,0.0311153,0.144126
-0.05918,0,0,0.0310002,0.144413
-0.05896,0,0,0.0308851,0.1447
-0.05874,0,0,0.03077,0.144988
-0.05852,0,0,0.0306549,0.145275
-0.0583,0,0,0.0305398,0.145563
-0.05808,0,0,0.0304247,0.14585
-0.05786,0,0,0.0303096,0.146138
-0.05764,0,0,0.0301945,0.146425
-0.05742,0,0,0.0300794,0.146712
-0.0572,0,0,0.0299643,0.147
-0.05698,0,0,0.0298492,0.147287
-0.05676,0,0,0.0297341,0.147575
-0.05654,0,0,0.029619,0.147862
-0.05632,0,0,0.0295039,0.14815
-0.0561,0,0,0.0293888,0.148437
-0.05588,0,0,0.0292737,0.148724
-0.05566,0,0,0.0291586,0.149012
-0.05544,0,0,0.0290435,0.149299
-0.05522,0,0,0.0289284,0.149587
-0.055,0,0,0.0288133,0.149874
-0.05478,0,0,0.0286982,0.150126
-0.05456,0,0,0.0285831,0.150378
-0.05434,0,0,0.028468,0.15063
-0.05412,0,0,0.0283528,0.150882
-0.0539,0,0,0.0282377,0.151134
-0.05368,0,0,0.0281226,0.151386
-0.05346,0,0,0.0280075,0.151638
-0.05324,0,0,0.0278924,0.15189
-0.05302,0,0,0.0277773,0.152141
-0.0528,0,0,0.0276622,0.152393
-0.05258,0,0,0.0275471,0.152645
-0.05236,0,0,0.027432,0.152897
-0.05214,0,0,0.0273169,0.153149
-0.05192,0,0,0.0272018,0.153401
-0.0517,0,0,0.0270867,0.153653
-0.05148,0,0,0.0269716,0.153905
-0.05126,0,0,0.0268565,0.154157
-0.05104,0,0,0.0267414,0.154409
-0.05082,0,0,0.0266263,0.154661
-0.0506,0,0,0.0265112,0.154913
-0.05038,0,0,0.0263961,0.155165
-0.05016,0,0,0.026281,0.155416
-0.04994,0,0,0.0261659,0.15566
-0.04972,0,0,0.0260508,0.15588
-0.0495,0,0,0.0259357,0.1561
-0.04928,0,0,0.0258206,0.15632
-0.04906,0,0,0.0257055,0.156541
-0.04884,0,0,0.0255904,0.156761
-0.04862,0,0,0.0254753,0.156981
-0.0484,0,0,0.0253602,0.157201
-0.04818,0,0,0.0252451,0.157421
-0.04796,0,0,0.02513,0.157642
-0.04774,0,0,0.0250149,0.157862
-0.04752,0,0,0.0248998,0.158082
-0.0473,0,0,0.0247847,0.158302
-0.04708,0,0,0.0246696,0.158522
-0.04686,0,0,0.0245545,0.158743
-0.04664,0,0,0.0244394,0.158963
-0.04642,0,0,0.0243242,0.159183
-0.0462,0,0,0.0242091,0.159403
-0.04598,0,0,0.024094,0.159624
-0.04576,0,0,0.0239789,0.159844
-0.04554,0,0,0.0238638,0.160064
-0.04532,0,0,0.0237487,0.160284
-0.0451,0,0,0.0236336,0.160504
-0.04488,0,0,0.0235185,0.160709
-0.04466,0,0,0.0234034,0.1609
-0.04444,0,0,0.0232883,0.161092
-0.04422,0,0,0.0231732,0.161283
-0.044,0,0,0.0230581,0.161474
-0.04378,0,0,0.022943,0.161666
-0.04356,0,0,0.0228279,0.161857
-0.04334,0,0,0.0227128,0.162048
-0.04312,0,0,0.0225977,0.16224
-0.0429,0,0,0.0224826,0.162431
-0.04268,0,0,0.0223675,0.162623
-0.04246,0,0,0.0222524,0.162814
-0.04224,0,0,0.0221373,0.163005
-0.04202,0,0,0.0220222,0.163197
-0.0418,0,0,0.0219071,0.163388
-0.04158,0,0,0.021792,0.163579
-0.04136,0,0,0.0216769,0.163771
-0.04114,0,0,0.0215618,0.163962
-0.04092,0,0,0.0214467,0.164154
-0.0407,0,0,0.0213316,0.164345
-0.04048,0,0,0.0212165,0.164536
-0.04026,0,0,0.0211014,0.164728
-0.04004,0,0,0.0209863,0.164919
-0.03982,0,0,0.0208712,0.165089
-0.0396,0,0,0.020756,0.165253
-0.03938,0,0,0.0206409,0.165418
-0.03916,0,0,0.0205258,0.165583
-0.03894,0,0,0.0204107,0.165748
-0.03872,0,0,0.0202956,0.165913
-0.0385,0,0,0.0201805,0.166077
-0.03828,0,0,0.0200654,0.166242
-0.03806,0,0,0.0199503,0.166407
-0.03784,0,0,0.0198352,0.166572
-0.03762,0,0,0.0197201,0.166736
-0.0374,0,0,0.019605,0.166901
-0.03718,0,0,0.0194899,0.167066
-0.03696,0,0,0.0193748,0.167231
-0.03674,0,0,0.0192597,0.167396
-0.03652,0,0,0.0191446,0.16756
-0.0363,0,0,0.0190295,0.167725
-0.03608,0,0,0.0189144,0.16789
-0.03586,0,0,0.0187993,0.168055
-0.03564,0,0,0.0186842,0.168219
-0.03542,0,0,0.0185691,0.168384
-0.0352,0,0,0.018454,0.168549
-0.03498,0,0,0.0183389,0.168711
-0.03476,0,0,0.0182238,0.168851
-0.03454,0,0,0.0181087,0.168991
-0.03432,0,0,0.0179936,0.169131
-0.0341,0,0,0.0178785,0.169271
-0.03388,0,0,0.0177634,0.169411
-0.03366,0,0,0.0176483,0.169551
-0.03344,0,0,0.0175332,0.169691
-0.03322,0,0,0.0174181,0.169831
-0.033,0,0,0.0173029,0.169971
-0.03278,0,0,0.0171878,0.17011
-0.03256,0,0,0.0170727,0.17025
-0.03234,0,0,0.0169576,0.17039
-0.03212,0,0,0.0168425,0.17053
-0.0319,0,0,0.0167274,0.17067
-0.03168,0,0,0.0166123,0.17081
-0.03146,0,0,0.0164972,0.17095
-0.03124,0,0,0.0163821,0.17109
-0.03102,0,0,0.016267,0.17123
-0.0308,0,0,0.0161519,0.17137
-0.03058,0,0,0.0160368,0.171509
-0.03036,0,0,0.0159217,0.171649
-0.03014,0,0,0.0158066,0.171789
-0.02992,0,0,0.0156915,0.171921
-0.0297,0,0,0.0155764,0.172037
-0.02948,0,0,0.0154613,0.172153
-0.02926,0,0,0.0153462,0.17227
-0.02904,0,0,0.0152311,0.172386
-0.02882,0,0,0.015116,0.172503
-0.0286,0,0,0.0150009,0.172619
-0.02838,0,0,0.0148858,0.172735
-0.02816,0,0,0.0147707,0.172852
-0.02794,0,0,0.0146556,0.172968
-0.02772,0,0,0.0145405,0.173085
-0.0275,0,0,0.0144254,0.173201
-0.02728,0,0,0.0143103,0.173317
-0.02706,0,0,0.0141952,0.173434
-0.02684,0,0,0.0140801,0.17355
-0.02662,0,0,0.0139649,0.173666
-0.0264,0,0,0.0138498,0.173783
-0.02618,0,0,0.0137347,0.173899
-0.02596,0,0,0.0136196,0.174016
-0.02574,0,0,0.0135045,0.174132
-0.02552,0,0,0.0133894,0.174248
-0.0253,0,0,0.0132743,0.174365
-0.02508,0,0,0.0131592,0.174481
-0.02486,0,0,0.0130441,0.174583
-0.02464,0,0,0.012929,0.174677
-0.02442,0,0,0.0128139,0.174771
-0.0242,0,0,0.0126988,0.174865
-0.02398,0,0,0.0125837,0.174959
-0.02376,0,0,0.0124686,0.175053
-0.02354,0,0,0.0123535,0.175147
-0.02332,0,0,0.0122384,0.175241
-0.0231,0,0,0.0121233,0.175335
-0.02288,0,0,0.0120082,0.175429
-0.02266,0,0,0.0118931,0.175523
-0.02244,0,0,0.011778,0.175617
-0.02222,0,0,0.0116629,0.17571
-0.022,0,0,0.0115478,0.175804
-0.02178,0,0,0.0114327,0.175898
-0.02156,0,0,0.0113176,0.175992
-0.02134,0,0,0.0112025,0.176086
-0.02112,0,0,0.0110874,0.17618
-0.0209,0,0,0.0109723,0.176274
-0.02068,0,0,0.0108571,0.176368
-0.02046,0,0,0.010742,0.176462
-0.02024,0,0,0.0106269,0.176556
-0.02002,0,0,0.0105118,0.17665
-0.0198,0,0,0.0103967,0.176724
-0.01958,0,0,0.0102816,0.176796
-0.01936,0,0,0.0101665,0.176869
-0.01914,0,0,0.0100514,0.176941
-0.01892,0,0,0.00993632,0.177013
-0.0187,0,0,0.00982122,0.177085
-0.01848,0,0,0.00970611,0.177158
-0.01826,0,0,0.00959101,0.17723
-0.01804,0,0,0.00947591,0.177302
-0.01782,0,0,0.0093608,0.177375
-0.0176,0,0,0.0092457,0.177447
-0.01738,0,0,0.00913059,0.177519
-0.01716,0,0,0.00901549,0.177591
-0.01694,0,0,0.00890039,0.177664
-0.01672,0,0,0.00878528,0.177736
-0.0165,0,0,0.00867018,0.177808
-0.01628,0,0,0.00855508,0.177881
-0.01606,0,0,0.00843997,0.177953
-0.01584,0,0,0.00832487,0.178025
-0.01562,0,0,0.00820976,0.178097
-0.0154,0,0,0.00809466,0.17817
-0.01518,0,0,0.00797956,0.178242
-0.01496,0,0,0.00786445,0.17831
-0.01474,0,0,0.00774935,0.178362
-0.01452,0,0,0.00763425,0.178413
-0.0143,0,0,0.00751914,0.178464
-0.01408,0,0,0.00740404,0.178515
-0.01386,0,0,0.00728893,0.178567
-0.01364,0,0,0.00717383,0.178618
-0.01342,0,0,0.00705873,0.178669
-0.0132,0,0,0.00694362,0.17872
-0.01298,0,0,0.00682852,0.178772
-0.01276,0,0,0.00671342,0.178823
-0.01254,0,0,0.00659831,0.178874
-0.01232,0,0,0.00648321,0.178925
